Organisation,Country
National Science Foundation Center for Environmental Implications of Nanotechnology (CEINT),USA
Programe of Independent and Achievement Transformation plan for Zaozhuang,China
General Program of NNSF of China,China
Rustaveli National Science Foundation of Georgia,Georgia
Nation Nature Science Foundation of China (NSFC),China
Japan Science and Technology Adaptable and Seamless Technology Transfer Program through target-driven RD,Japan
Foundation for Innovative Research Groups of National Science Foundation of China (NSFC): Marine Organic Biogeochemistry,China
Swiss National Science Foundation - Umbrella project,Switzerland
NSF of Shenzhen,China
NSF of Anhui Education Bureau,China
Japan Society for the Promotion of Science-National Research Foundation of Korea-National Science Foundation of China (JSPS-NRF-NSFC) A3 Foresight Program in the field of Plasma Physics (NSFC),"International (Japan, Korea, China)"
National Science Foundation for Distinguished Young Scholars of Fujian Province,China
National Science Foundation for Post-doctoral Scientists of Jiangsu Province in China,China
Inner Mongolia National Science Foundation,China
National Natural Science Foundation of China (NSFC) foundation,China
National Science Foundation's Division of Polar Programs,USA
Nano/Bio Interface Center at the University of Pennsylvania through the NSF NSEC,USA
NSF Faculty Early Career Development (CAREER) Program,USA
NNSF Projects of China,China
Australian Research Council through the Industrial Transformation Training Centre for LNG Futures,Australia
National Science Foundation under NSF Collaborative Research Award,USA
NSF Graduate Research Fellowships,USA
American Association for Cancer Research (NextGen Grant for Transformative Cancer Research),USA
National Science Foundation (CBET Energy for Sustainability),USA
NSF IOS,USA
U.S. National Science Foundation (NSF) through International Materials Institute for New Functionality in Glass (IMI-NFG),USA
NSF through the University of Wisconsin Nanoscale Science and Engineering Center,USA
NSF Petascale Simulations and Analysis (PetaApps) program,USA
Chinese government through National Science Foundation of China (NSFC),China
"CEM, an NSF MRSEC",USA
National Science Foundation (MSN),USA
National Science Foundation of Anhui,China
Youth Science Fund Project of NNSF of China,China
NSF's Geospace Environment Modeling grant,USA
"National Science Foundation, Science and Technology Center",USA
Joint NSFC-ISF Research Program,"International (China, Israel)"
NSF from the NRAO,USA
National Science Foundation Plant Genome Research,USA
National Science Foundation of China NSFC,China
Swiss-NSF,Switzerland
National Science Foundation National Nanotechnology Coordinated Infrastructure Texas Nanofabrication Facility,USA
NSF SCREMS,USA
Fund for the Transformation of Major Scientific and Technological Achievements of Jiangsu Province,China
NSF Water and Environmental Technology Center at Arizona State University,USA
Joint Institute for Nuclear Astrophysics (JINA; NSF),USA
National Science Foundation of China (NSFC) Key Program,China
Visy through the Industry Transformation Research Hub grant,Australia
NSF CRIF MU,USA
Industrial Transformation Research Hub,Australia
NSF-MRI-R2 grant,USA
Hong Kong RGC-NSFC,"Hong Kong, China"
National Science Foundation of Hangkong,"Hong Kong, China"
"Center for Engineering MechanoBiology (CEMB), an NSF Science and Technology Center",USA
"U.S. National Science Foundation, through International Materials Institute for New Functionality in Glass (IMI-NFG)",USA
NSF through the UMN MRSEC,USA
Guangxi NSFC,China
LHC-TI under U.S. National Science Foundation,USA
National Natural Science Foundation ofChina (NSFC),China
Swiss National Science Foundation (NCCR MUST),Switzerland
"National Program for Support of Top-notch Young Professionals, National Natural Science Foundation of China NSFC",China
U S. National Science Foundation,USA
NSF-GOALI program,USA
NSFY/China,China
NCAR/EOL under National Science Foundation,USA
NSF through ERC program,USA
Large Scientific Apparatus United Fund from NSFC,China
NIH/National Institute of General Medical Sciences under NSF,USA
Swiss National Science Foundation SNF grants,Switzerland
National Sciences Foundation (NSF) Earth System Modeling Program at NCSU,USA
NSFC-NRCT joint project,China
"National Natural Science Foundation of China (NSFC), Shanxi",China
NSF-Plant Genome Program,USA
National Natural Science Foundation of China NSFC-CGIAR Project,China
Dynamik und Intermediate molekularer Transformationen (DFG),Germany
NSF of Jiangsu Provence - China,China
National Agricultural Achievements Transformation Fund,China
Project of the National Natural Science Foundation of China (NSFC),China
NSF EPSCoR CIMM project,USA
National Science Foundation (NSF) Research Experiences for Undergraduates (REU) program,USA
"National Science Foundation for Natural Science, China",China
NSF Creative Team Project of Hubei Province,China
Centre for Innovation and Transfer of Natural Sciences and Engineering Knowledge at the University of Rzeszow,Poland
National Science Foundation East Asia and Pacific Summer Institute Fellowship,USA
"NSF of Fujian Province, China",China
MRSEC program of the NSF at the MRC of Northwestern,USA
Foundation for Innovative Research Groups of NNSFC,China
US National Science Foundation's Division of Environmental Biology,USA
National Science Foundation EPSCoR program at the University of Montana,USA
NSF PHY Grant,USA
NSF Cooperative Agreement for the Operation of a National Ocean Sciences Accelerator Mass Spectrometry Facility,USA
